Food Product,Main Ingredient,Sweetener,Fat/Oil,Seasoning,Allergens,Price ($),Customer rating,Is_Allergen
3,3,92,4,8,1,16.46,3.4,0
1,1,279,4,1,1,19.81,3.8,0
2,61,279,85,2,1,11.4,4.1,0
2,61,279,27,1,1,11.21,3.6,0
1,2,3,85,2,2,13.47,2.6,0
1,1,279,58,1,2,13.79,2.2,0
2,5,279,85,2,3,11.6,3.1,0
1,1,279,58,1,3,6.64,1.8,0
2,5,279,85,2,3,6.14,1.4,0
1,6,279,85,4,3,16.82,1.9,0
2,6,5,58,3,3,8.21,1.7,0
2,6,5,58,3,3,8.85,2.3,0
1,6,279,2,4,1,13.14,3.0,0
1,6,5,58,1,1,12.51,4.2,0
1,6,279,2,15,1,12.17,3.9,0
2,2,279,43,11,7,10.13,3.5,0
2,2,279,43,11,7,6.83,3.3,0
3,2,279,90,6,7,5.17,2.7,0
2,6,279,43,2,7,5.96,4.2,0
3,6,279,90,6,7,13.93,1.7,0
1,6,279,90,1,7,12.15,1.1,0
3,6,279,90,6,7,11.7,4.5,0
1,1,279,1,1,1,18.37,4.9,0
2,2,279,85,6,2,13.77,2.8,0
2,2,279,85,6,2,12.65,2.5,0
1,2,5,58,3,2,9.57,1.3,0
1,2,5,58,3,2,5.87,4.4,0
1,1,1,2,15,6,14.85,1.8,0
2,2,92,8,1,6,15.93,3.2,0
2,3,279,8,2,6,9.89,3.1,0
2,6,12,8,2,6,13.57,3.6,0
2,3,279,8,2,6,16.26,2.6,0
2,6,12,8,2,6,16.62,2.0,0
2,2,2,2,8,4,16.21,3.6,0
2,2,2,2,8,4,10.35,3.6,0
1,2,92,3,8,4,13.5,2.4,0
1,5,92,58,8,4,5.51,1.2,0
2,5,92,58,2,2,10.2,3.7,0
2,5,92,58,2,2,5.63,2.7,0
2,12,279,58,2,148,12.81,3.7,1
2,12,279,58,20,148,18.2,3.1,1
2,12,279,58,2,148,12.95,3.6,1
2,12,279,58,20,148,15.37,3.7,1
1,1,92,58,20,148,12.03,2.6,1
2,2,279,90,3,148,5.26,1.8,1
1,6,92,90,3,148,6.91,2.4,0
2,2,12,1,1,148,6.23,2.6,0
1,1,3,43,1,148,15.04,3.6,0
2,3,279,90,4,148,14.12,1.2,1
2,8,279,43,15,148,12.42,3.4,1
1,6,279,43,3,148,10.3,2.0,1
1,7,279,43,11,148,6.31,2.3,1
1,3,92,1,20,148,10.06,2.1,1
1,12,279,90,5,148,19.52,4.2,1
3,6,279,43,4,148,17.78,4.4,1
2,5,279,90,4,148,15.18,4.2,1
4,61,279,43,3,148,10.43,3.7,1
4,5,279,90,1,148,15.86,1.3,1
1,13,279,90,1,148,16.54,3.7,1
1,61,279,43,15,148,19.85,4.8,1
1,8,279,43,6,148,6.49,1.2,1
1,8,279,90,6,148,14.26,2.7,1
3,11,279,90,1,148,16.37,3.9,1
3,61,279,43,1,148,5.37,1.5,1
1,7,279,90,1,148,7.68,2.1,1
1,12,279,58,1,148,14.31,1.2,1
1,61,279,90,3,148,5.28,3.5,1
1,13,279,1,5,148,5.79,3.6,1
2,61,279,43,2,148,11.99,4.3,1
1,61,279,90,1,148,6.34,3.1,1
1,61,279,9,4,148,12.81,2.7,1
1,12,92,58,6,148,16.39,1.4,1
4,5,279,90,1,148,19.57,4.6,1
2,2,279,90,4,148,7.55,4.1,1
3,15,279,43,15,148,18.26,1.5,1
1,1,279,90,4,148,18.2,1.8,1
3,6,279,43,4,148,14.23,4.7,1
3,2,279,90,1,148,10.32,3.8,1
1,1,92,58,3,148,7.58,1.1,1
1,1,279,58,1,148,9.08,3.2,1
2,61,279,43,2,148,9.54,1.6,1
3,6,279,58,1,148,9.86,2.3,1
1,5,279,9,3,148,9.35,2.2,1
1,11,12,1,1,148,7.79,1.8,1
4,4,279,90,6,148,11.84,1.7,1
1,15,279,43,15,148,19.54,3.8,1
1,2,279,90,6,148,19.33,2.7,1
1,12,1,58,20,148,10.32,3.8,1
1,2,279,43,1,148,8.22,4.6,1
1,6,279,58,1,148,15.56,3.9,1
3,61,279,3,20,148,8.29,4.9,1
2,6,279,43,4,148,10.93,3.4,1
2,61,279,90,1,148,16.5,4.4,1
2,5,279,58,5,148,19.36,1.8,1
1,4,279,90,5,148,10.23,2.8,1
1,61,92,43,1,148,19.33,2.7,1
1,15,279,90,6,148,18.47,2.2,1
1,12,279,90,1,148,5.83,4.5,1
1,3,279,90,1,148,11.91,3.5,1
1,8,279,90,4,148,19.27,1.2,1
4,7,279,90,1,148,14.92,2.5,1
3,15,279,43,4,148,12.7,1.7,1
2,3,279,90,2,148,15.25,3.5,1
2,8,279,43,15,148,8.67,1.5,1
1,3,279,43,1,148,8.74,3.3,1
2,5,279,90,4,148,7.31,4.2,1
1,2,279,90,6,148,16.69,2.3,1
1,61,279,43,1,148,6.63,3.3,1
2,61,12,90,1,148,13.24,1.4,1
1,5,279,90,2,148,10.18,3.5,1
1,61,279,90,1,148,6.26,3.0,1
1,7,279,90,3,148,18.06,2.0,1
4,61,279,9,3,148,13.72,2.2,1
2,13,279,3,2,148,6.5,2.2,1
2,15,279,43,15,148,10.55,4.3,1
2,5,279,9,4,148,7.87,2.8,1
4,4,279,90,6,148,19.86,1.6,1
4,4,279,90,6,148,15.79,2.5,1
2,5,279,90,2,148,15.52,2.2,1
2,3,279,90,3,148,13.17,1.4,1
2,3,279,90,6,148,5.65,3.9,1
2,6,92,9,20,148,7.86,2.9,1
2,13,279,90,3,148,15.1,2.2,1
4,61,279,43,3,148,13.87,1.3,1
3,6,279,58,2,148,6.78,4.0,1
3,11,279,90,2,148,12.85,2.2,1
2,5,92,85,20,148,11.82,3.7,1
3,15,279,43,15,148,9.77,2.0,1
2,11,279,58,2,148,12.77,4.7,1
2,7,279,90,2,148,17.29,1.2,1
2,3,12,85,20,148,18.77,2.5,1
3,3,279,90,2,148,19.83,4.4,1
2,7,279,90,4,148,12.88,3.9,1
2,12,279,58,2,148,18.76,1.1,1
2,2,279,90,4,148,16.54,3.5,1
1,61,279,90,1,148,7.97,2.4,1
2,61,279,90,1,148,5.61,4.5,1
1,61,279,90,6,148,6.28,3.1,1
1,61,279,90,4,148,19.66,4.3,1
1,3,279,90,3,148,13.61,4.7,1
2,15,279,43,1,148,16.77,1.5,1
1,11,279,58,1,148,10.88,2.7,1
1,61,279,43,1,148,5.26,3.9,1
2,61,279,43,2,148,19.43,2.5,1
1,8,279,9,4,148,5.39,2.4,1
4,7,279,90,1,148,5.84,2.3,1
2,13,279,3,2,148,10.87,4.4,1
2,15,279,43,15,148,8.71,1.5,1
2,5,279,9,4,148,5.21,1.7,1
4,4,279,90,6,148,9.3,1.1,1
2,5,279,90,2,148,14.69,4.1,1
2,3,279,90,3,148,9.78,1.1,1
2,3,279,90,6,148,17.43,1.9,1
2,6,92,9,20,148,18.22,2.9,1
2,13,279,90,3,148,14.8,3.7,1
4,61,279,43,3,148,6.15,1.1,1
3,6,279,58,2,148,7.02,3.7,1
3,11,279,90,2,148,6.55,1.2,1
2,5,92,85,20,148,8.1,4.2,1
3,15,279,43,15,148,16.7,4.8,1
2,11,279,58,2,148,11.52,2.0,1
2,7,279,90,2,148,7.87,4.3,1
2,3,12,85,20,148,6.59,4.8,1
3,3,279,90,2,148,12.44,3.3,1
2,7,279,90,4,148,16.23,1.6,1
2,12,279,58,2,148,7.47,2.4,1
1,5,279,27,1,148,16.49,2.9,1
1,3,92,27,1,148,18.19,3.8,1
1,5,279,10,1,148,9.66,3.0,1
1,7,279,27,4,148,12.12,3.5,0
1,7,279,10,1,148,5.64,4.1,1
2,61,279,27,5,148,5.21,3.1,1
1,1,279,10,1,148,16.75,1.0,1
1,1,1,58,1,148,11.67,4.3,1
1,1,279,27,4,148,11.23,2.2,0
4,61,279,10,3,148,14.22,3.4,1
1,8,279,27,5,148,15.46,3.2,1
1,3,279,10,1,148,10.61,3.7,1
1,1,279,10,1,148,18.05,1.9,1
2,61,279,27,5,148,11.32,2.2,1
1,8,279,85,1,148,9.77,1.1,1
1,1,279,27,1,148,14.52,2.0,1
4,61,279,10,3,148,17.8,1.3,1
1,5,279,10,1,148,8.7,1.9,1
1,3,279,27,1,148,18.28,2.2,1
1,1,279,10,1,148,6.52,1.1,1
1,1,279,27,5,148,11.27,2.8,1
1,4,92,3,6,1,16.56,2.6,0
3,61,279,1,15,5,8.82,1.9,0
2,2,92,43,11,5,16.37,4.0,0
2,2,92,43,11,5,9.04,3.2,0
3,61,279,2,2,5,17.35,4.2,0
3,61,279,2,2,5,8.85,1.8,0
3,61,279,90,3,3,10.96,1.9,0
1,4,279,90,3,3,16.36,1.3,0
3,61,279,90,3,3,14.18,3.1,0
1,5,92,3,1,1,16.09,3.8,0
2,10,279,85,3,6,18.57,2.4,0
1,10,279,85,3,6,19.78,1.6,0
1,10,279,90,4,6,6.05,1.6,0
2,10,279,90,3,6,6.87,1.2,0
2,10,279,90,3,6,16.13,1.7,0
1,2,279,27,5,6,6.63,1.5,0
2,4,279,85,2,6,8.79,2.6,0
2,10,279,90,3,6,12.4,2.1,0
2,10,279,85,3,6,18.48,4.8,0
2,4,279,85,2,6,13.99,2.2,0
2,10,279,90,3,6,12.79,3.4,0
1,2,279,9,3,6,14.95,3.9,0
2,4,279,2,2,2,16.2,4.4,0
2,4,279,2,2,2,15.55,1.5,0
1,10,279,2,6,1,5.55,4.5,0
1,10,279,43,15,1,12.06,3.7,0
2,2,92,58,2,8,19.49,1.7,0
2,2,92,58,2,8,13.81,4.1,0
2,5,279,43,15,8,5.11,4.7,0
1,1,279,58,1,8,11.86,2.9,0
1,5,279,43,1,8,18.93,2.2,0
2,61,279,8,1,8,15.31,4.0,0
2,5,279,43,15,8,18.59,2.2,0
1,15,279,8,1,8,12.47,4.3,0
1,3,279,8,1,1,15.85,4.4,0
2,2,279,58,11,8,13.92,4.9,0
2,2,279,58,11,8,18.79,1.1,0
2,4,92,43,11,8,11.8,3.4,0
1,61,279,85,3,8,9.5,4.5,0
1,5,279,43,11,8,11.19,1.5,0
1,61,279,85,1,8,16.05,4.4,0
1,3,279,58,1,8,17.03,3.8,0
1,7,279,27,1,8,5.64,3.0,0
3,4,92,85,11,71,18.21,1.4,0
3,4,92,85,11,71,17.15,3.9,0
1,16,92,85,1,71,10.4,4.5,0
1,3,92,43,6,71,12.02,3.5,0
3,1,92,85,11,71,15.89,4.9,0
1,16,92,85,2,71,8.22,2.1,0
2,1,279,85,1,71,13.93,1.4,0
3,16,92,85,6,71,14.32,4.5,0
1,1,92,85,11,71,14.83,3.5,0
3,12,92,85,6,71,9.24,4.3,0
2,4,92,85,11,71,16.56,3.6,0
1,16,92,85,8,71,7.86,2.4,0
3,12,92,85,6,71,6.29,1.4,0
1,13,279,2,1,71,8.71,3.0,0
2,16,92,85,4,71,6.84,4.9,0
3,16,92,85,3,71,9.78,1.1,0
3,4,92,85,2,71,8.9,3.6,0
1,5,92,85,11,71,8.72,4.9,0
3,3,279,85,4,71,13.22,4.1,0
1,5,92,85,11,71,13.56,2.0,0
2,13,279,2,3,71,7.51,1.1,0
1,1,92,85,1,71,17.46,1.2,0
2,16,92,85,2,71,13.56,2.6,0
1,61,279,85,1,71,11.5,4.3,0
1,16,92,85,1,71,19.25,4.0,0
1,4,92,1,1,71,8.82,4.6,0
1,5,92,85,1,71,10.02,4.8,0
1,1,92,85,1,71,11.93,1.4,0
2,16,92,85,4,71,8.55,3.7,0
3,4,3,85,1,71,13.56,3.3,0
3,12,92,85,4,71,11.87,1.3,0
3,61,279,2,2,71,6.82,1.2,0
4,5,279,10,3,71,10.76,3.5,0
4,5,279,10,3,71,15.05,2.2,0
2,2,2,2,20,71,18.4,4.3,0
3,3,92,2,2,71,19.56,1.6,0
3,2,92,85,2,71,7.93,3.8,0
3,61,279,10,2,71,19.93,3.8,0
2,7,279,90,5,71,8.58,1.5,0
3,3,279,85,4,71,13.48,1.9,0
2,7,279,58,2,71,19.7,1.1,0
2,13,279,10,3,71,15.05,4.1,0
2,12,92,85,4,71,6.66,4.4,0
3,12,92,85,2,71,15.13,1.9,0
3,61,279,90,5,71,18.06,5.0,0
3,4,92,85,2,71,13.4,3.7,0
3,16,92,85,4,71,11.11,3.4,0
2,7,279,58,2,71,14.41,2.8,0
2,15,279,85,2,71,15.45,1.1,0
2,13,279,58,5,71,5.16,1.3,0
2,16,92,85,2,71,19.84,4.6,0
3,12,92,85,4,71,5.67,4.2,0
3,61,279,2,2,71,6.31,3.2,0
4,5,279,10,3,71,16.74,4.7,0
2,2,2,2,20,71,14.18,4.4,0
3,3,92,2,2,71,13.92,4.9,0
3,2,92,85,2,71,18.24,3.3,0
3,61,279,10,2,71,17.0,4.1,0
2,7,279,90,5,71,15.56,3.1,0
3,3,279,85,4,71,11.49,5.0,0
2,7,279,58,2,71,10.98,2.4,0
2,13,279,10,3,71,15.29,4.8,0
2,12,92,85,4,71,19.66,4.9,0
3,12,92,85,2,71,18.7,1.8,0
3,61,279,90,5,71,13.29,3.7,0
3,4,92,85,2,71,15.39,4.5,0
3,16,92,85,4,71,15.07,2.1,0
2,7,279,58,2,71,16.88,1.7,0
2,15,279,85,2,71,10.6,3.6,0
1,16,92,27,1,71,13.5,1.1,0
1,16,279,85,20,71,14.96,3.2,0
3,3,92,1,2,1,13.86,4.4,0
1,16,92,85,2,2,19.26,2.9,0
1,16,92,85,2,2,6.34,1.7,0
3,3,92,85,2,2,14.18,3.8,0
3,3,92,85,2,2,5.07,2.9,0
1,1,92,85,1,3,11.95,4.4,0
2,4,92,85,2,3,12.67,3.4,0
2,4,92,85,2,3,15.83,2.4,0
1,7,279,58,1,1,8.55,2.3,0
